,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
1957,Lica,4,120,29.0,2827.0,11.0,3.0,8.4,0.0,0.0,0.0,0.0,0.0,600000,6
1958,Jonatan Lucca,3,120,24.0,2247.0,3.0,2.0,2.7,0.0,0.0,0.0,0.0,0.0,1000000,6
1959,Andre Santos,3,120,29.0,2273.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800000,6
1960,Goncalo Silva,2,120,27.0,2791.0,0.0,1.0,0.9,0.0,0.0,0.0,47.0,47.1,1500000,6
1961,Luis Silva,2,120,19.0,102.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,100000,6
1962,Diogo Viana,2,120,28.0,2317.0,1.0,6.0,1.5,0.0,0.0,0.0,37.0,36.9,1000000,6
1963,Mamadu Cande,2,119,27.0,1625.0,1.0,0.0,1.4,0.0,0.0,0.0,24.0,27.5,500000,6
1964,Fabio Cardoso,2,119,24.0,2645.0,5.0,1.0,3.3,0.0,0.0,0.0,38.0,42.3,1500000,6
1965,Anderson Carvalho,3,119,28.0,1207.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,500000,6
1966,Malick Evouna,4,119,25.0,120.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,500000,6
1967,Bruno Lamas,3,119,24.0,2369.0,2.0,2.0,2.4,0.0,0.0,0.0,0.0,0.0,800000,6
1968,Joao Lopes,1,119,22.0,270.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,100000,6
1969,Ze Manuel,4,119,27.0,2195.0,8.0,1.0,7.1,0.0,0.0,0.0,0.0,0.0,500000,6
1970,Lucas Marques,3,119,23.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000,6
1971,Denis Pineda,4,119,22.0,980.0,1.0,3.0,1.3,0.0,0.0,0.0,0.0,0.0,400000,6
1972,Osama Rashid,3,119,26.0,2010.0,7.0,2.0,4.9,0.0,0.0,0.0,0.0,0.0,2000000,6
1973,Guilherme Schettine,4,119,22.0,1322.0,7.0,1.0,8.4,0.0,0.0,0.0,0.0,0.0,1000000,6
1974,Alfredo Stephens,4,119,23.0,906.0,0.0,3.0,1.3,0.0,0.0,0.0,0.0,0.0,150000,6
1975,Ukra,4,119,30.0,1122.0,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,500000,6
1976,Ricardo Costa,2,126,37.0,2339.0,1.0,1.0,2.0,0.0,0.0,0.0,41.0,42.5,100000,6
1977,Joao Jaquite,3,126,22.0,972.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,350000,6
1978,Bruno Monteiro,3,126,33.0,2572.0,2.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,200000,6
1979,Fahd Moufi,2,126,22.0,992.0,1.0,0.0,0.4,0.0,0.0,0.0,20.0,18.3,500000,6
1980,Jhon Murillo,4,126,23.0,1840.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000,6
1981,Patrick,4,126,24.0,433.0,1.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,1000000,6
1982,Joao Pedro,3,126,25.0,860.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,700000,6
1983,Pite,4,126,23.0,587.0,3.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,400000,6
1984,Claudio Ramos,1,126,26.0,3060.0,0.0,0.0,0.0,54.0,96.0,4.0,0.0,0.0,2000000,6
1985,Joao Reis,2,126,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,200000,6
1986,Wilson Eduardo,4,91,28.0,2139.0,12.0,2.0,10.5,0.0,0.0,0.0,0.0,0.0,6000000,6
1987,Ricardo Esgaio,3,91,25.0,1991.0,0.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,4000000,6
1988,Diogo Figueiras,2,91,27.0,186.0,0.0,1.0,0.1,0.0,0.0,0.0,5.0,2.3,1000000,6
1989,Fransergio,3,91,27.0,1919.0,2.0,3.0,3.2,0.0,0.0,0.0,0.0,0.0,4500000,6
1990,Ricardo Horta,3,91,23.0,2170.0,8.0,4.0,6.4,0.0,0.0,0.0,0.0,0.0,9000000,6
1991,Fabio Martins,3,91,25.0,234.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,2500000,6
1992,Matheus,1,91,26.0,270.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,2500000,6
1993,Joao Novais,3,91,25.0,1236.0,1.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,4000000,6
1994,Joao Palhinha,3,91,23.0,1479.0,2.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,2500000,6
1995,Paulinho,4,91,25.0,1733.0,5.0,2.0,8.8,0.0,0.0,0.0,0.0,0.0,400000,6
1996,Tiago Sa,1,91,23.0,2790.0,0.0,0.0,0.0,31.0,70.0,16.0,0.0,0.0,4000000,6
1997,Pablo Santos,2,91,26.0,1680.0,2.0,0.0,0.7,0.0,0.0,0.0,26.0,23.9,3000000,6
1998,Nuno Sequeira,2,91,27.0,2568.0,0.0,5.0,0.4,0.0,0.0,0.0,31.0,31.5,4000000,6
1999,Raul Silva,2,91,28.0,1303.0,1.0,0.0,1.1,0.0,0.0,0.0,8.0,13.6,5000000,6
2000,Bruno Viana,2,91,23.0,2880.0,0.0,1.0,1.3,0.0,0.0,0.0,37.0,37.8,6000000,6
2001,Xadas,3,91,20.0,207.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,4000000,6
2002,Filipe Ferreira,2,134,27.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.3,500000,6
2003,Lazar Rosic,2,134,25.0,1104.0,0.0,0.0,0.6,0.0,0.0,0.0,30.0,22.9,600000,6
2004,Lionn,2,128,29.0,978.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,16.3,800000,6
2005,Ruben Macedo,4,128,22.0,756.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,500000,6
2006,Marlon,2,128,22.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1000000,6
2007,Luther Singh,4,128,20.0,137.0,2.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2000000,6
2008,Luis Machado,4,129,25.0,1806.0,1.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,500000,6
2009,Andre Moreira,1,129,22.0,450.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,800000,6
2010,Lawrence Ofori,3,129,20.0,288.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,300000,6
2011,Philipe Sampaio,2,129,23.0,723.0,1.0,0.0,0.1,0.0,0.0,0.0,8.0,8.3,900000,6
