,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
106,Fabian Orellana,3,74,32.0,2733.0,3.0,5.0,7.2,0.0,0.0,0.0,0.0,0.0,2500000,2
107,Ruben Pena,2,74,27.0,2674.0,1.0,2.0,0.8,0.0,0.0,0.0,41.0,36.7,8000000,2
108,Ivan Ramis,2,74,33.0,1677.0,0.0,0.0,1.3,0.0,0.0,0.0,18.0,23.7,1000000,2
109,Miguel Angel Moya,1,24,34.0,990.0,0.0,0.0,0.0,11.0,22.0,2.0,0.0,0.0,1500000,2
110,Ander Barrenetxea,4,24,16.0,399.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10000000,2
111,Aritz Elustondo,2,24,24.0,2254.0,1.0,0.0,1.5,0.0,0.0,0.0,35.0,34.8,10000000,2
112,Andoni Gorosabel,2,24,21.0,455.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,5.6,1500000,2
113,Ander Guevara,3,24,21.0,90.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2500000,2
114,Asier Illarramendi,3,24,28.0,1821.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,25000000,2
115,Adnan Januzaj,4,24,23.0,1254.0,1.0,3.0,2.4,0.0,0.0,0.0,0.0,0.0,15000000,2
116,Willian Jose,4,24,26.0,2367.0,11.0,5.0,11.7,0.0,0.0,0.0,0.0,0.0,30000000,2
117,Juanmi,4,24,25.0,1523.0,5.0,2.0,6.6,0.0,0.0,0.0,0.0,0.0,8000000,2
118,Robin Le Normand,2,24,21.0,284.0,0.0,1.0,0.2,0.0,0.0,0.0,5.0,2.9,4000000,2
119,Diego Llorente,2,24,24.0,1752.0,0.0,0.0,0.5,0.0,0.0,0.0,17.0,22.4,25000000,2
120,Mikel Merino,3,24,22.0,2055.0,3.0,3.0,2.9,0.0,0.0,0.0,0.0,0.0,15000000,2
121,Aihen Munoz,2,24,20.0,951.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,13.6,7500000,2
122,Raul Navas,2,24,30.0,1310.0,0.0,0.0,0.3,0.0,0.0,0.0,17.0,19.8,3000000,2
123,Mikel Oyarzabal,4,24,21.0,3153.0,13.0,2.0,11.1,0.0,0.0,0.0,0.0,0.0,60000000,2
124,Ruben Pardo,3,24,25.0,1368.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4000000,2
125,Sandro Ramirez,4,24,23.0,1055.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4000000,2
126,Kevin Rodrigues,2,24,24.0,484.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,7.2,3000000,2
127,Luca Sangalli,3,24,23.0,999.0,1.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,4000000,2
128,Joseba Zaldua,2,24,26.0,2139.0,1.0,2.0,0.1,0.0,0.0,0.0,29.0,31.0,10000000,2
129,Igor Zubeldia,3,24,21.0,2549.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,30000000,2
130,David Zurutuza,3,24,32.0,1222.0,2.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2500000,2
131,Vitorino Antunes,2,69,31.0,2181.0,1.0,3.0,1.0,0.0,0.0,0.0,21.0,25.6,2500000,2
132,Mauro Arambarri,3,69,22.0,2676.0,1.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,15000000,2
133,Markel Bergara,3,69,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000,2
134,Leandro Cabrera,2,69,27.0,2794.0,2.0,0.0,2.3,0.0,0.0,0.0,33.0,38.3,5000000,2
135,Leandro Chichizola,1,69,28.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1000000,2
136,Djene,2,69,26.0,2976.0,0.0,0.0,0.7,0.0,0.0,0.0,31.0,36.0,25000000,2
137,Bruno Gonzalez,2,69,28.0,1701.0,0.0,1.0,0.7,0.0,0.0,0.0,15.0,21.0,2000000,2
138,Robert Ibanez,3,69,25.0,76.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1000000,2
139,Nemanja Maksimovic,3,69,23.0,3209.0,1.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,15000000,2
140,Jaime Mata,4,69,29.0,2432.0,14.0,6.0,12.4,0.0,0.0,0.0,0.0,0.0,10000000,2
141,Jorge Molina,4,69,36.0,2648.0,14.0,5.0,11.5,0.0,0.0,0.0,0.0,0.0,2000000,2
142,Francisco Portillo,3,69,28.0,1994.0,1.0,4.0,1.9,0.0,0.0,0.0,0.0,0.0,4000000,2
143,Angel Rodriguez,4,69,31.0,1819.0,8.0,3.0,8.1,0.0,0.0,0.0,0.0,0.0,3000000,2
144,David Soria,1,69,25.0,3330.0,0.0,0.0,0.0,34.0,99.0,13.0,0.0,0.0,15000000,2
145,Damian Suarez,2,69,30.0,3240.0,0.0,3.0,0.5,0.0,0.0,0.0,34.0,40.5,3500000,2
146,Nestor Araujo,2,43,26.0,2682.0,3.0,0.0,1.3,0.0,0.0,0.0,47.0,44.0,8000000,2
147,Iago Aspas,4,43,30.0,2251.0,20.0,6.0,11.9,0.0,0.0,0.0,0.0,0.0,25000000,2
148,Fran Beltran,3,43,19.0,1517.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,18000000,2
149,Ruben Blanco,1,43,23.0,2250.0,0.0,0.0,0.0,40.0,69.0,6.0,0.0,0.0,3000000,2
150,David Costas,2,43,23.0,1173.0,0.0,0.0,0.2,0.0,0.0,0.0,19.0,24.4,3000000,2
151,Maxi Gomez,4,43,21.0,2960.0,13.0,5.0,12.5,0.0,0.0,0.0,0.0,0.0,40000000,2
152,David Junca,2,43,24.0,1754.0,0.0,3.0,0.5,0.0,0.0,0.0,34.0,32.9,1500000,2
153,Stanislav Lobotka,3,43,23.0,2489.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,25000000,2
154,Hugo Mallo,2,43,27.0,3092.0,1.0,4.0,1.8,0.0,0.0,0.0,53.0,53.1,15000000,2
155,Brais Mendez,3,43,21.0,2349.0,6.0,7.0,5.5,0.0,0.0,0.0,0.0,0.0,20000000,2
156,Lucas Olaza,2,43,24.0,897.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,15.7,3500000,2
157,Pione Sisto,4,43,23.0,844.0,2.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,8000000,2
158,Kevin Vazquez,2,43,25.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.7,500000,2
159,Okay Yokuslu,3,43,24.0,2198.0,2.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,12000000,2
160,Sergio Asenjo,1,57,29.0,2880.0,0.0,0.0,0.0,45.0,119.0,9.0,0.0,0.0,12000000,2
161,Carlos Bacca,4,57,31.0,1270.0,6.0,1.0,4.6,0.0,0.0,0.0,0.0,0.0,5000000,2
162,Santiago Caseres,3,57,21.0,1588.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,10000000,2
163,Santi Cazorla,3,57,33.0,2647.0,4.0,10.0,4.4,0.0,0.0,0.0,0.0,0.0,4000000,2
164,Jaume Costa,2,57,30.0,1495.0,1.0,0.0,0.5,0.0,0.0,0.0,22.0,25.3,4000000,2
165,Andres Fernandez,1,57,31.0,540.0,0.0,0.0,0.0,7.0,16.0,2.0,0.0,0.0,1500000,2
166,Ramiro Funes Mori,2,57,27.0,2627.0,2.0,1.0,2.4,0.0,0.0,0.0,36.0,41.2,8000000,2
167,Mario Gaspar,2,57,27.0,2599.0,1.0,2.0,1.9,0.0,0.0,0.0,36.0,40.1,10000000,2
168,Vicente Iborra,3,57,30.0,1665.0,3.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,9000000,2
169,Gerard Moreno,4,57,26.0,2315.0,8.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,17500000,2
170,Manu Morlanes,3,57,19.0,610.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,0.0,2500000,2
171,Alfonso Pedraza,2,57,22.0,2095.0,3.0,3.0,3.7,0.0,0.0,0.0,41.0,37.5,17500000,2
172,Xavi Quintilla,2,57,21.0,627.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,11.4,2000000,2
173,Karl Toko Ekambi,4,57,25.0,2144.0,10.0,1.0,10.6,0.0,0.0,0.0,0.0,0.0,17500000,2
174,Manu Trigueros,3,57,26.0,1547.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000000,2
175,Marco Asensio,4,6,22.0,1779.0,1.0,4.0,4.1,0.0,0.0,0.0,0.0,0.0,60000000,2
176,Gareth Bale,4,6,29.0,1786.0,8.0,3.0,9.1,0.0,0.0,0.0,0.0,0.0,60000000,2
177,Karim Benzema,4,6,30.0,2953.0,21.0,6.0,17.7,0.0,0.0,0.0,0.0,0.0,40000000,2
178,Casemiro,3,6,26.0,2312.0,3.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,60000000,2
179,Thibaut Courtois,1,6,26.0,2430.0,0.0,0.0,0.1,36.0,67.0,8.0,0.0,0.0,55000000,2
180,Brahim Diaz,4,6,18.0,376.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,17000000,2
181,Isco,3,6,26.0,1192.0,3.0,2.0,5.1,0.0,0.0,0.0,0.0,0.0,60000000,2
182,Vinicius Junior,4,6,18.0,869.0,2.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,70000000,2
183,Toni Kroos,3,6,28.0,2221.0,0.0,4.0,1.4,0.0,0.0,0.0,0.0,0.0,60000000,2
184,Marcos Llorente,3,6,23.0,540.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,30000000,2
185,Marcelo,2,6,30.0,1853.0,2.0,2.0,1.9,0.0,0.0,0.0,33.0,29.2,25000000,2
186,Luka Modric,3,6,32.0,2608.0,3.0,6.0,2.7,0.0,0.0,0.0,0.0,0.0,20000000,2
187,Alvaro Odriozola,2,6,22.0,1178.0,0.0,2.0,0.5,0.0,0.0,0.0,15.0,17.5,25000000,2
188,Sergio Ramos,2,6,32.0,2474.0,6.0,1.0,7.1,0.0,0.0,0.0,33.0,34.4,25000000,2
189,Sergio Reguilon,2,6,21.0,1119.0,0.0,2.0,0.2,0.0,0.0,0.0,9.0,12.9,22000000,2
190,Javi Sanchez,2,6,21.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2000000,2
191,Federico Valverde,3,6,20.0,656.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,20000000,2
192,Raphael Varane,2,6,25.0,2754.0,2.0,0.0,2.1,0.0,0.0,0.0,34.0,37.8,70000000,2
193,Lucas Vazquez,4,6,27.0,1510.0,1.0,3.0,2.6,0.0,0.0,0.0,0.0,0.0,25000000,2
194,Ever Banega,3,72,30.0,2667.0,3.0,5.0,2.8,0.0,0.0,0.0,0.0,0.0,15000000,2
195,Daniel Carrico,2,72,29.0,2130.0,1.0,1.0,0.5,0.0,0.0,0.0,23.0,26.1,3000000,2
196,Sergio Escudero,2,72,28.0,1545.0,0.0,1.0,1.4,0.0,0.0,0.0,16.0,17.0,7500000,2
197,Sergi Gomez,2,72,26.0,2765.0,0.0,0.0,0.8,0.0,0.0,0.0,43.0,39.1,8000000,2
198,Maxime Gonalons,3,72,29.0,540.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4000000,2
199,Roque Mesa,3,72,29.0,1746.0,2.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,7000000,2
200,Jesus Navas,2,72,32.0,2712.0,1.0,5.0,1.5,0.0,0.0,0.0,42.0,37.0,4000000,2
201,Nolito,4,72,31.0,76.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2000000,2
202,Juan Soriano,1,72,20.0,359.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,2500000,2
203,Tomas Vaclik,1,72,29.0,2970.0,0.0,0.0,0.0,44.0,98.0,8.0,0.0,0.0,18000000,2
204,Franco Vazquez,3,72,29.0,2280.0,3.0,4.0,4.1,0.0,0.0,0.0,0.0,0.0,15000000,2
205,Aleix Vidal,2,72,28.0,528.0,0.0,0.0,0.4,0.0,0.0,0.0,6.0,8.2,4000000,2
206,Enis Bardhi,3,73,23.0,2836.0,3.0,4.0,3.6,0.0,0.0,0.0,0.0,0.0,15000000,2
207,Erick Cabaco,2,73,23.0,1632.0,2.0,0.0,1.5,0.0,0.0,0.0,35.0,36.7,4000000,2
208,Jose Campana,3,73,25.0,3210.0,4.0,9.0,1.8,0.0,0.0,0.0,0.0,0.0,15000000,2
209,Coke,2,73,31.0,1817.0,4.0,0.0,1.9,0.0,0.0,0.0,34.0,40.8,2000000,2
210,Aitor Fernandez,1,73,27.0,1440.0,0.0,0.0,0.0,24.0,60.0,2.0,0.0,0.0,2500000,2
211,Jason,2,73,24.0,2330.0,2.0,5.0,3.2,0.0,0.0,0.0,39.0,47.8,5000000,2
212,Jose Luis Morales,4,73,31.0,3195.0,12.0,5.0,13.6,0.0,0.0,0.0,0.0,0.0,10000000,2
213,Roger Marti,4,73,27.0,1887.0,13.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,10000000,2
214,Borja Mayoral,4,73,21.0,1621.0,3.0,2.0,4.7,0.0,0.0,0.0,0.0,0.0,4000000,2
215,Oier Olazabal,1,73,28.0,1890.0,0.0,0.0,0.0,40.0,95.0,5.0,0.0,0.0,2500000,2
216,Sergio Postigo,2,73,29.0,1449.0,1.0,1.0,0.9,0.0,0.0,0.0,30.0,29.4,2500000,2
217,Ruben Rochina,3,73,27.0,1800.0,4.0,5.0,2.4,0.0,0.0,0.0,0.0,0.0,4000000,2
218,Tono,2,73,28.0,1763.0,1.0,2.0,1.3,0.0,0.0,0.0,25.0,37.5,1000000,2
219,Ruben Vezo,2,73,24.0,1339.0,2.0,1.0,0.7,0.0,0.0,0.0,21.0,27.0,6000000,2
220,Nikola Vukcevic,3,73,26.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,2
221,Antonio Barragan,2,36,31.0,934.0,0.0,0.0,0.1,0.0,0.0,0.0,16.0,14.2,2000000,2
222,Marc Bartra,2,36,27.0,2928.0,1.0,0.0,0.7,0.0,0.0,0.0,43.0,41.3,22000000,2
223,Sergio Canales,3,36,27.0,2655.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,25000000,2
224,William Carvalho,3,36,26.0,2385.0,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,25000000,2
225,Emerson,4,36,19.0,317.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,6000000,2
226,Zouhair Feddal,2,36,29.0,1702.0,1.0,1.0,1.6,0.0,0.0,0.0,23.0,24.3,5000000,2
227,Junior Firpo,2,36,21.0,1937.0,3.0,4.0,2.2,0.0,0.0,0.0,30.0,28.1,25000000,2
228,Javi Garcia,2,36,31.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.7,2000000,2
229,Andres Guardado,3,36,31.0,2335.0,0.0,4.0,1.4,0.0,0.0,0.0,0.0,0.0,5000000,2
230,Francis Guerrero,2,36,22.0,1778.0,0.0,1.0,0.4,0.0,0.0,0.0,21.0,20.4,4000000,2
231,Joaquin,4,36,37.0,1696.0,6.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,2000000,2
232,Wilfrid Kaptoum,3,36,22.0,773.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4000000,2
233,Diego Lainez,4,36,18.0,353.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,14000000,2
234,Sergio Leon,4,36,29.0,638.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,3000000,2
235,Aissa Mandi,2,36,26.0,3059.0,1.0,1.0,0.6,0.0,0.0,0.0,46.0,45.2,16000000,2
236,Loren Moron,4,36,24.0,1957.0,6.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,10000000,2
237,Joel Robles,1,36,28.0,450.0,0.0,0.0,0.0,5.0,16.0,1.0,0.0,0.0,5000000,2
238,Sidnei,2,36,28.0,1742.0,1.0,0.0,1.1,0.0,0.0,0.0,31.0,29.1,10000000,2
239,Cristian Tello,2,36,26.0,1573.0,4.0,6.0,2.9,0.0,0.0,0.0,22.0,22.8,10000000,2
240,Martin Braithwaite,4,87,27.0,1402.0,4.0,5.0,5.1,0.0,0.0,0.0,0.0,0.0,10000000,2
241,Unai Bustinza,2,87,26.0,2023.0,0.0,1.0,0.3,0.0,0.0,0.0,22.0,21.4,4000000,2
242,Guido Carrillo,4,87,27.0,1992.0,6.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0,7500000,2
243,Ivan Cuellar,1,87,34.0,3055.0,0.0,0.0,0.0,38.0,78.0,9.0,0.0,0.0,800000,2
244,Youssef En-Nesyri,4,87,21.0,2106.0,9.0,2.0,7.1,0.0,0.0,0.0,0.0,0.0,12000000,2
245,Vasyl Kravets,2,87,20.0,481.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,5.5,3000000,2
246,Sabin Merino,4,87,26.0,295.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1000000,2
247,Allan Nyom,2,87,30.0,1708.0,1.0,1.0,0.3,0.0,0.0,0.0,19.0,18.6,3000000,2
248,Kenneth Omeruo,2,87,24.0,2433.0,0.0,0.0,0.2,0.0,0.0,0.0,27.0,26.8,5000000,2
249,Ruben Perez,3,87,29.0,2474.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7500000,2
250,Recio,3,87,27.0,1285.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3000000,2
251,Jonathan Silva,2,87,24.0,2700.0,3.0,6.0,1.6,0.0,0.0,0.0,34.0,32.6,3000000,2
252,Rodrigo Tarin,2,87,22.0,1429.0,0.0,0.0,0.3,0.0,0.0,0.0,16.0,14.7,2000000,2
253,Mikel Vesga,3,87,25.0,2070.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,4000000,2
254,Denis Cheryshev,3,20,27.0,1706.0,2.0,2.0,3.7,0.0,0.0,0.0,0.0,0.0,6000000,2
255,Francis Coquelin,3,20,27.0,1761.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,20000000,2
256,Mouctar Diakhaby,2,20,21.0,1580.0,2.0,0.0,1.3,0.0,0.0,0.0,18.0,25.7,30000000,2
257,Jaume Domenech,1,20,27.0,360.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,2500000,2
258,Kevin Gameiro,4,20,31.0,1612.0,6.0,1.0,8.8,0.0,0.0,0.0,0.0,0.0,9000000,2
259,Ezequiel Garay,2,20,31.0,2136.0,2.0,0.0,1.6,0.0,0.0,0.0,23.0,24.2,8000000,2
260,Goncalo Guedes,3,20,21.0,1465.0,5.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,40000000,2
261,Geoffrey Kondogbia,3,20,25.0,1245.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,30000000,2
262,Santi Mina,4,20,22.0,1852.0,7.0,5.0,8.1,0.0,0.0,0.0,0.0,0.0,30000000,2
263,Neto,1,20,29.0,3060.0,0.0,0.0,0.0,34.0,106.0,10.0,0.0,0.0,18000000,2
264,Gabriel Paulista,2,20,27.0,2623.0,0.0,1.0,1.1,0.0,0.0,0.0,28.0,33.6,20000000,2
265,Cristiano Piccini,2,20,25.0,1868.0,1.0,0.0,0.5,0.0,0.0,0.0,22.0,25.0,10000000,2
266,Rodrigo,4,20,27.0,2528.0,8.0,6.0,13.8,0.0,0.0,0.0,0.0,0.0,50000000,2
267,Facundo Roncaglia,2,20,31.0,601.0,0.0,0.0,0.4,0.0,0.0,0.0,4.0,6.2,2500000,2
268,Carlos Soler,3,20,21.0,2460.0,2.0,6.0,4.1,0.0,0.0,0.0,0.0,0.0,50000000,2
269,Ferran Torres,3,20,18.0,850.0,2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,20000000,2
270,Daniel Wass,2,20,29.0,2354.0,1.0,3.0,1.4,0.0,0.0,0.0,27.0,32.9,14000000,2
271,Sergi Darder,3,54,24.0,2709.0,4.0,2.0,2.9,0.0,0.0,0.0,0.0,0.0,14000000,2
272,Oscar Duarte,2,54,29.0,660.0,0.0,0.0,0.1,0.0,0.0,0.0,13.0,10.6,1000000,2
273,Facundo Ferreyra,4,54,27.0,211.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4000000,2
274,Esteban Granero,3,54,31.0,2013.0,3.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,3000000,2
275,Mario Hermoso,2,54,23.0,2806.0,3.0,0.0,2.6,0.0,0.0,0.0,36.0,43.1,25000000,2
276,Borja Iglesias,4,54,25.0,3075.0,17.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,28000000,2
277,David Lopez,2,54,28.0,1819.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,30.6,9000000,2
278,Diego Lopez,1,54,36.0,3420.0,0.0,0.0,0.0,50.0,117.0,10.0,0.0,0.0,1000000,2
279,Javi Lopez,2,54,32.0,1948.0,0.0,1.0,0.7,0.0,0.0,0.0,33.0,32.8,1000000,2
280,Lluis Lopez,2,54,21.0,521.0,0.0,0.0,0.2,0.0,0.0,0.0,11.0,8.3,1500000,2
281,Oscar Melendo,3,54,20.0,1997.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,10000000,2
282,Naldo,2,54,29.0,1362.0,1.0,1.0,1.1,0.0,0.0,0.0,18.0,20.5,2000000,2
283,Pablo Piatti,4,54,29.0,743.0,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,4000000,2
284,Marc Roca,3,54,21.0,3112.0,1.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,30000000,2
285,Roberto Rosales,2,54,29.0,1749.0,3.0,1.0,1.1,0.0,0.0,0.0,20.0,25.4,2500000,2
286,Victor Sanchez,3,54,30.0,1265.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,3000000,2
287,Didac Vila,2,54,29.0,2354.0,0.0,2.0,1.9,0.0,0.0,0.0,38.0,39.4,4000000,2
288,Bernardo Espinosa,2,99,29.0,2727.0,1.0,1.0,2.1,0.0,0.0,0.0,43.0,43.3,6000000,2
289,Pere Pons,3,99,25.0,2792.0,1.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,4000000,2
290,Pedro Porro,2,99,18.0,2211.0,0.0,4.0,1.6,0.0,0.0,0.0,33.0,36.0,10000000,2
291,Portu,4,99,26.0,2821.0,9.0,2.0,7.9,0.0,0.0,0.0,0.0,0.0,10000000,2
292,David Timor,3,99,28.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000,2
293,Enric Gallego,4,107,31.0,1539.0,5.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,3000000,2
294,Moi Gomez,3,107,24.0,3055.0,2.0,7.0,2.1,0.0,0.0,0.0,0.0,0.0,5000000,2
295,Yangel Herrera,3,107,20.0,1154.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2000000,2
296,Gonzalo Melero,3,107,24.0,1345.0,2.0,1.0,5.1,0.0,0.0,0.0,0.0,0.0,4000000,2
297,Jorge Miramon,2,107,29.0,2492.0,1.0,0.0,0.8,0.0,0.0,0.0,42.0,40.3,3000000,2
298,Patrick Van Aanholt,2,25,27.0,3195.0,3.0,2.0,2.6,0.0,0.0,0.0,46.0,46.3,10000000,1
299,Jordan Ayew,4,25,26.0,1181.0,1.0,2.0,2.9,0.0,0.0,0.0,0.0,0.0,8000000,1
300,Michy Batshuayi,4,25,24.0,750.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,25000000,1
301,Christian Benteke,4,25,27.0,814.0,1.0,1.0,3.4,0.0,0.0,0.0,0.0,0.0,15000000,1
302,Scott Dann,2,25,31.0,663.0,0.0,1.0,0.2,0.0,0.0,0.0,10.0,11.0,4000000,1
303,Vicente Guaita,1,25,31.0,1754.0,0.0,0.0,0.0,23.0,63.0,7.0,0.0,0.0,5000000,1
304,Wayne Hennessey,1,25,31.0,1576.0,0.0,0.0,0.0,26.0,42.0,5.0,0.0,0.0,5000000,1
305,Martin Kelly,2,25,28.0,1111.0,0.0,0.0,0.4,0.0,0.0,0.0,21.0,19.7,3000000,1
306,Cheikhou Kouyate,3,25,28.0,1899.0,0.0,2.0,1.1,0.0,0.0,0.0,0.0,0.0,10000000,1
307,James Mcarthur,3,25,30.0,3058.0,3.0,6.0,4.1,0.0,0.0,0.0,0.0,0.0,7000000,1
308,Max Meyer,3,25,22.0,1416.0,1.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,15000000,1
309,Luka Milivojevic,3,25,27.0,3420.0,12.0,2.0,10.9,0.0,0.0,0.0,0.0,0.0,20000000,1
310,Mamadou Sakho,2,25,28.0,2416.0,0.0,0.0,0.4,0.0,0.0,0.0,35.0,33.9,15000000,1
311,Jeffrey Schlupp,3,25,25.0,1670.0,4.0,1.0,3.2,0.0,0.0,0.0,0.0,0.0,10000000,1
312,James Tomkins,2,25,29.0,2560.0,1.0,1.0,1.4,0.0,0.0,0.0,37.0,34.1,6000000,1
313,Andros Townsend,4,25,27.0,3009.0,6.0,4.0,4.6,0.0,0.0,0.0,0.0,0.0,15000000,1
314,Aaron Wan-Bissaka,2,25,20.0,3134.0,0.0,3.0,0.5,0.0,0.0,0.0,46.0,46.0,40000000,1
315,Joel Ward,2,25,28.0,552.0,1.0,0.0,0.6,0.0,0.0,0.0,14.0,8.7,4000000,1
316,Connor Wickham,4,25,25.0,67.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,3000000,1
317,Wilfried Zaha,4,25,25.0,3036.0,10.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,55000000,1
318,Sergio Aguero,4,1,30.0,2459.0,21.0,8.0,18.1,0.0,0.0,0.0,0.0,0.0,65000000,1
319,Kevin De Bruyne,3,1,27.0,975.0,2.0,2.0,1.4,0.0,0.0,0.0,0.0,0.0,130000000,1
320,Fabian Delph,2,1,28.0,725.0,0.0,1.0,0.1,0.0,0.0,0.0,9.0,8.4,15000000,1
321,Ederson,1,1,24.0,3420.0,0.0,1.0,0.0,23.0,58.0,20.0,0.0,0.0,70000000,1
322,Fernandinho,3,1,33.0,2377.0,1.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,12000000,1
323,Phil Foden,3,1,18.0,335.0,1.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,30000000,1
324,Ilkay Gundogan,3,1,27.0,2137.0,6.0,3.0,4.1,0.0,0.0,0.0,0.0,0.0,50000000,1
325,Gabriel Jesus,4,1,21.0,1036.0,7.0,3.0,11.2,0.0,0.0,0.0,0.0,0.0,70000000,1
326,Aymeric Laporte,2,1,24.0,3057.0,3.0,3.0,3.0,0.0,0.0,0.0,21.0,22.5,75000000,1
327,Riyad Mahrez,4,1,27.0,1343.0,7.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,60000000,1
328,Benjamin Mendy,2,1,24.0,900.0,0.0,5.0,0.2,0.0,0.0,0.0,6.0,7.2,35000000,1
329,Nicolas Otamendi,2,1,30.0,1236.0,0.0,0.0,1.3,0.0,0.0,0.0,7.0,7.5,25000000,1
330,Leroy Sane,4,1,22.0,1867.0,10.0,10.0,6.7,0.0,0.0,0.0,0.0,0.0,100000000,1
